# x	y	u	v	mask
  0.3212	 30.7605	 -0.1221	 -0.3187	  1.0000
  0.5906	 30.7605	  2.0613	 -3.5053	  0.0000
  0.8599	 30.7605	 -0.5505	 -0.2127	  1.0000
  1.1293	 30.7605	 -0.7313	 -0.1738	  1.0000
  1.3987	 30.7605	 -4.5222	 -0.0765	  0.0000
  1.6680	 30.7605	 -0.9141	 -0.0171	  1.0000
  1.9374	 30.7605	 -0.0650	  0.0929	  0.0000
  2.2068	 30.7605	 -4.5167	  0.0304	  0.0000
  2.4762	 30.7605	 -0.5796	 -0.0074	  1.0000
  2.7455	 30.7605	  1.5142	 -0.0170	  0.0000
  3.0149	 30.7605	 -4.5836	  0.0194	  0.0000
  3.2843	 30.7605	 -0.6718	 -0.2755	  1.0000
  3.5537	 30.7605	 -0.7625	 -0.2838	  1.0000
  3.8230	 30.7605	 -1.1441	 -0.0202	  1.0000
  4.0924	 30.7605	 -1.1235	 -0.0220	  1.0000
  4.3618	 30.7605	  0.0117	 -0.0131	  0.0000
  4.6312	 30.7605	 -4.5337	  0.0648	  0.0000
  4.9005	 30.7605	 -3.7849	  0.0616	  0.0000
  5.1699	 30.7605	 -2.7253	  0.0692	  0.0000
  5.4393	 30.7605	  1.4782	  0.2285	  0.0000
  5.7087	 30.7605	 -0.7319	 -0.1126	  1.0000
  5.9780	 30.7605	 -6.2898	  5.9998	  0.0000
  6.2474	 30.7605	  0.3034	 -0.0873	  1.0000
  6.5168	 30.7605	  0.1290	  0.2306	  0.0000
  6.7862	 30.7605	  1.4540	  0.0344	  0.0000
  7.0555	 30.7605	  4.5724	  0.0001	  0.0000
  7.3249	 30.7605	  1.4249	  0.0287	  0.0000
  7.5943	 30.7605	  1.0214	 -0.3600	  1.0000
  7.8637	 30.7605	  1.0153	 -0.3719	  1.0000
  8.1330	 30.7605	 -4.4843	  0.0295	  0.0000
  8.4024	 30.7605	  4.1697	  0.1346	  0.0000
  8.6718	 30.7605	  0.0112	 -0.0236	  0.0000
  8.9412	 30.7605	 -0.6608	  0.0046	  1.0000
  9.2105	 30.7605	 -4.5443	  0.0273	  0.0000
  9.4799	 30.7605	 -0.7650	 -0.0026	  1.0000
  9.7493	 30.7605	 -1.5083	  0.0113	  0.0000
 10.0186	 30.7605	 -4.5247	  0.0023	  0.0000
 10.2880	 30.7605	 -2.9148	  0.0005	  0.0000
 10.5574	 30.7605	 -4.5848	  0.0748	  0.0000
 10.8268	 30.7605	 -1.9414	 -0.1877	  1.0000
 11.0961	 30.7605	 -0.0395	  0.0091	  0.0000
 11.3655	 30.7605	 -4.7916	 -7.3229	  0.0000
 11.6349	 30.7605	 -4.5058	 -0.0000	  0.0000
 11.9043	 30.7605	  0.1568	 -2.0188	  0.0000
 12.1736	 30.7605	 -0.0084	 -0.0462	  0.0000
 12.4430	 30.7605	 -4.4913	 -0.0587	  0.0000
 12.7124	 30.7605	  4.4328	  0.0789	  0.0000
 12.9818	 30.7605	 -4.4635	 -0.1288	  0.0000
 13.2511	 30.7605	  0.0484	 -0.0255	  0.0000
 13.5205	 30.7605	 -1.4362	 -0.1292	  0.0000
 13.7899	 30.7605	  0.0154	  0.0000	  0.0000
 14.0593	 30.7605	  3.7622	  0.1988	  0.0000
 14.3286	 30.7605	 -2.7074	 -0.0379	  0.0000
 14.5980	 30.7605	 -4.1156	  0.0496	  0.0000
 14.8674	 30.7605	 -1.5098	 -0.1127	  0.0000
